Date,Close/Last,Volume,Open,High,Low
2024-09-27,128.25,2525697,130.16,130.31,128.17
2024-09-26,129.25,3825948,132.706,133.34,129.146
2024-09-25,130.71,2310696,131.31,131.9,130.3
2024-09-24,131.48,4189105,130.58,131.67,129.59
2024-09-23,129.03,3682591,131.5,131.64,128.9
2024-09-20,131.18,12476320,129.83,131.95,129.03
2024-09-19,128.75,7691622,127.93,131.35,127.44
2024-09-18,122.42,3861293,122.32,125.66,122.0
2024-09-17,122.12,6323569,119.87,124.74,119.485
2024-09-16,117.55,3229853,117.99,118.3,116.16
2024-09-13,117.75,3514203,117.75,119.21,117.15
2024-09-12,117.36,3076184,116.33,117.38,115.05
2024-09-11,115.96,3644976,115.09,116.17,112.55
2024-09-10,115.12,4080373,117.01,117.4063,112.86
2024-09-09,116.36,4178558,115.11,117.92,114.985
2024-09-06,114.28,4072379,116.37,117.26,113.24
2024-09-05,116.16,3593436,114.64,116.45,114.6
2024-09-04,115.21,3281564,114.27,115.99,114.19
2024-09-03,114.98,4678840,116.395,117.835,114.13
2024-08-30,117.31,3279531,116.94,118.05,116.29
2024-08-29,116.6,3330982,118.17,119.38,116.42
2024-08-28,117.53,3463705,116.0,117.73,115.76
2024-08-27,116.74,3457429,115.3,117.42,115.17
2024-08-26,115.71,4948158,116.85,117.39,115.35
2024-08-23,116.85,4998414,116.64,118.7,116.37
2024-08-22,115.45,4875497,117.68,118.395,115.3
2024-08-21,117.68,5028525,118.04,118.27,116.7
2024-08-20,117.38,3940048,118.94,119.28,117.175
2024-08-19,119.14,4184729,116.93,119.3,116.44
2024-08-16,116.31,4592024,117.9,118.8,116.22
2024-08-15,118.88,5266295,118.195,119.133,116.37
2024-08-14,116.24,3504796,117.72,118.74,116.18
2024-08-13,116.9,4662047,114.39,117.77,114.05
2024-08-12,113.62,3980998,115.48,115.5,113.27
2024-08-09,115.08,4764351,114.465,116.26,112.6
2024-08-08,114.64,8006214,113.98,116.43,112.42
2024-08-07,113.01,29027860,112.44,115.55,110.38
2024-08-06,130.47,11148440,126.905,131.45,126.3
2024-08-05,125.31,7521889,123.77,125.95,122.06
2024-08-02,128.23,7745494,129.31,129.6,126.5
2024-08-01,135.09,5166851,139.7,139.78,132.9
2024-07-31,139.56,3331392,140.79,141.2199,139.1
2024-07-30,138.99,2996153,140.65,140.99,137.9
2024-07-29,140.29,2723157,141.24,142.4299,140.0
2024-07-26,140.1,5101418,141.9,141.91,139.03
2024-07-25,140.03,5626549,141.25,141.945,137.58
2024-07-24,144.23,5461901,146.73,147.11,142.98
2024-07-23,148.75,2676905,150.56,151.25,147.83
2024-07-22,150.18,3672064,148.14,150.37,146.55
2024-07-19,147.99,3131618,147.03,149.16,147.03
2024-07-18,146.88,3593705,148.17,150.145,146.75
2024-07-17,148.0,3242315,149.24,150.1,147.26
2024-07-16,151.26,4079268,148.47,151.64,147.88
2024-07-15,147.22,3546065,145.88,148.47,144.75
2024-07-12,146.78,2923457,146.83,148.0,146.19
2024-07-11,146.0,6289510,150.55,152.0,144.13
2024-07-10,151.84,3263527,153.11,153.2,150.09
2024-07-09,152.45,4329182,152.92,155.66,151.965
2024-07-08,151.96,3228334,152.65,154.2,150.755
2024-07-05,152.5,3836132,152.4,152.88,151.44
2024-07-03,152.73,1725631,153.91,154.43,152.3
2024-07-02,154.34,3526073,151.29,155.21,151.29
2024-07-01,151.63,2904962,152.2,152.2,149.14
2024-06-28,151.63,3842498,151.54,152.93,150.68
2024-06-27,151.61,3588639,150.46,151.88,149.39
2024-06-26,150.0,3797877,149.73,150.385,149.37
2024-06-25,150.91,5008296,148.97,151.275,148.85
2024-06-24,148.39,4530892,149.15,150.04,146.71
2024-06-21,149.57,7648402,148.76,150.0,147.25
2024-06-20,147.88,2874248,147.77,149.75,147.6
2024-06-18,147.29,3316730,149.9,150.549,146.9
